Copolymer Identifier,Hard Segment Weight Fraction,DACH(%),Mn (g/mol),Mw (g/mol), Mw/Mn,Theoretical variance,Corrected experimental variance,Influence of the interfaces removed,Interdomain spacing (nm),Boundary size-σ (nm),Boundary size-E (nm),Deg of microphase separation,Boundary diffuseness,Intermixing within microphases,Phase Separation(%),Boundary Effect(%),Intermixing effect(%)
PUU-14,14,0,31600,50900,1.6,1090,220,220,30,0.1,0.2,0.2,0.01,4,20,0,80
PUU-17,17,0,36500,81400,2.2,2550,680,1030,13.8,0.6,2,0.27,0.51,1.5,27,14,59
PUU-22,22,0,24500,47800,2,4180,1720,2330,13.4,0.5,1.7,0.41,0.35,0.8,41,15,44
PUU-30,30,0,14600,33300,2.3,6030,1800,2270,12.7,0.5,1.7,0.3,0.26,1.7,30,8,62
PUU-37,37,0,13900,37900,2.7,7080,2160,2420,15.5,0.4,1.3,0.31,0.12,1.9,31,4,65
PUU-43,43,0,8300,20800,2.5,7730,1930,2280,14.4,0.4,1.6,0.25,0.18,2.4,25,5,70
PUU-47,47,0,6300,14200,2.3,812,2160,2600,14.4,0.5,1.6,0.27,0.2,2.1,27,5,68
PUU 22-05,22,5,20600,39800,1.9,4190,1020,1290,12.3,0.3,1.1,0.24,0.26,2.2,24,6,69
PUU 22-15,22,15,20400,46000,2.3,4160,1060,1490,11.7,0.6,2.2,0.25,0.41,1.8,25,10,64
PUU 22-25,22,25,28000,57600,2.1,4130,1020,1290,12.5,0.5,1.7,0.25,0.27,2.2,25,7,69
PUU 22-35,22,35,25100,76300,3,4090,850,1050,13.6,0.4,1.5,0.21,0.23,2.9,21,5,74
